symbol,target_vram,accepted_symbols,accepted_owner_resolution,retail_call_count,call_sites_rom,observed_argument_registers,observed_stack_argument_slots,observed_minimum_argument_count,observed_return_use,predecessor_declaration,strongest_repository_definition,linkage_evidence,evidence_strength,recommended_prototype,discrepancies
func_8023A670,0x8023A670,unknown,unmapped:no accepted entry at retail call target,1,0x00285558,$a0|$a1|$a2|$a3,2,6,unknown,"void func_8023A670(s16, s16, s16, s16, s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_8023A670(s16, s16, s16, s16, s32, s32)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023A7C4,0x8023A7C4,unknown,unmapped:no accepted entry at retail call target,1,0x002857FC,none isolated,0,0,unknown,void func_8023A7C4(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_8023A7C4(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023A8C0,0x8023A8C0,unknown,unmapped:no accepted entry at retail call target,1,0x002850C0,$a0,0,1,unknown,void func_8023A8C0(void *),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_8023A8C0(void *),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023B500,0x8023B500,unknown,unmapped:no accepted entry at retail call target,1,0x00285240,$a0,0,1,unknown,void func_8023B500(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_8023B500(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023BB48,0x8023BB48,unknown,unmapped:no accepted entry at retail call target,1,0x00285210,$a0,0,1,unknown,void func_8023BB48(s16),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_8023BB48(s16),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023BD7C,0x8023BD7C,unknown,unmapped:no accepted entry at retail call target,1,0x00285220,none isolated,0,0,used,s16 func_8023BD7C(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,s16 func_8023BD7C(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023BD88,0x8023BD88,unknown,unmapped:no accepted entry at retail call target,1,0x00285618,$a0,0,1,unknown,"void func_8023BD88(s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_8023BD88(s32, s32)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023BDA8,0x8023BDA8,unknown,unmapped:no accepted entry at retail call target,1,0x002850E8,$a0,0,1,unknown,void func_8023BDA8(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_8023BDA8(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023BF30,0x8023BF30,unknown,unmapped:no accepted entry at retail call target,2,0x002854FC|0x00286068,$a0|$a1,0,2,unknown,"void func_8023BF30(s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_8023BF30(s32, s32)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023C08C,0x8023C08C,unknown,unmapped:no accepted entry at retail call target,1,0x00285520,$a0|$a1|$a2,0,3,unknown,"void func_8023C08C(s32, s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_8023C08C(s32, s32, s32)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023C214,0x8023C214,unknown,unmapped:no accepted entry at retail call target,1,0x00284C80,none isolated,0,0,unknown,s32 func_8023C214(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,s32 func_8023C214(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023C228,0x8023C228,unknown,unmapped:no accepted entry at retail call target,1,0x00284C60,$a0|$a1|$a2,0,3,unknown,"void func_8023C228(s32, s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_8023C228(s32, s32, s32)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023C3DC,0x8023C3DC,unknown,unmapped:no accepted entry at retail call target,1,0x00285C10,none isolated,0,0,unknown,"void func_8023C3DC(s32, s32, M2C_UNK)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_8023C3DC(s32, s32, M2C_UNK)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023C804,0x8023C804,unknown,unmapped:no accepted entry at retail call target,1,0x00285B40,$a0,0,1,unknown,s32 func_8023C804(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,s32 func_8023C804(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023C874,0x8023C874,unknown,unmapped:no accepted entry at retail call target,1,0x00286044,$a0,0,1,unknown,void func_8023C874(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_8023C874(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023C9D4,0x8023C9D4,unknown,unmapped:no accepted entry at retail call target,1,0x00285C30,$a0|$a1,0,2,unknown,"void func_8023C9D4(s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_8023C9D4(s32, s32)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023CBD8,0x8023CBD8,unknown,unmapped:no accepted entry at retail call target,1,0x00285AE8,$a0,0,1,unknown,void func_8023CBD8(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_8023CBD8(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023CFA0,0x8023CFA0,unknown,unmapped:no accepted entry at retail call target,1,0x002859F0,$a0,0,1,unknown,s32 func_8023CFA0(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,s32 func_8023CFA0(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023D0EC,0x8023D0EC,unknown,unmapped:no accepted entry at retail call target,1,0x00285A20,$a0|$a1,0,2,unknown,"void func_8023D0EC(s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_8023D0EC(s32, s32)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023D1E8,0x8023D1E8,unknown,unmapped:no accepted entry at retail call target,1,0x00285A74,$a0|$a1,0,2,unknown,"void func_8023D1E8(s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_8023D1E8(s32, s32)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023D2C4,0x8023D2C4,unknown,unmapped:no accepted entry at retail call target,1,0x00285B08,$a0|$a1,0,2,unknown,"void func_8023D2C4(s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_8023D2C4(s32, s32)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023D7A8,0x8023D7A8,unknown,unmapped:no accepted entry at retail call target,1,0x00285AA4,$a0,0,1,unknown,void func_8023D7A8(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_8023D7A8(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023D878,0x8023D878,unknown,unmapped:no accepted entry at retail call target,1,0x00285B54,$a0,0,1,unknown,void func_8023D878(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_8023D878(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023DCC0,0x8023DCC0,unknown,unmapped:no accepted entry at retail call target,2,0x00285250|0x00285B64,none isolated,0,0,unknown,s32 func_8023DCC0(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,s32 func_8023DCC0(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023DCD4,0x8023DCD4,unknown,unmapped:no accepted entry at retail call target,1,0x00285B84,$a0|$a1,0,2,unknown,"void func_8023DCD4(s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_8023DCD4(s32, s32)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023DD68,0x8023DD68,unknown,unmapped:no accepted entry at retail call target,1,0x00285994,none isolated,0,0,unknown,"void func_8023DD68(u8, M2C_UNK)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_8023DD68(u8, M2C_UNK)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023DF70,0x8023DF70,unknown,unmapped:no accepted entry at retail call target,1,0x002851C8,$a0|$a1|$a2|$a3,2,6,unknown,"void func_8023DF70(s32, s32, s32, s32, s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_8023DF70(s32, s32, s32, s32, s32, s32)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023E2C0,0x8023E2C0,unknown,unmapped:no accepted entry at retail call target,1,0x002851F8,none isolated,0,0,unknown,s32 func_8023E2C0(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,s32 func_8023E2C0(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023E320,0x8023E320,unknown,unmapped:no accepted entry at retail call target,1,0x00285BB0,none isolated,0,0,unknown,void func_8023E320(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_8023E320(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023E694,0x8023E694,unknown,unmapped:no accepted entry at retail call target,1,0x00285150,$a0|$a1|$a2|$a3,4,8,unknown,"void func_8023E694(s32, f32, f32, f32, f32, f32, s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_8023E694(s32, f32, f32, f32, f32, f32, s32, s32)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023E998,0x8023E998,unknown,unmapped:no accepted entry at retail call target,1,0x0028546C,$a0|$a1|$a2,0,3,unknown,"void func_8023E998(u8, u8, u8)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_8023E998(u8, u8, u8)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023EAA0,0x8023EAA0,unknown,unmapped:no accepted entry at retail call target,1,0x0028547C,none isolated,0,0,unknown,s32 func_8023EAA0(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,s32 func_8023EAA0(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023F304,0x8023F304,unknown,unmapped:no accepted entry at retail call target,1,0x0028548C,none isolated,0,0,unknown,void func_8023F304(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_8023F304(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023FB90,0x8023FB90,unknown,unmapped:no accepted entry at retail call target,1,0x00285748,$a0,0,1,unknown,void func_8023FB90(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_8023FB90(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023FD88,0x8023FD88,unknown,unmapped:no accepted entry at retail call target,1,0x00285758,none isolated,0,0,unknown,void func_8023FD88(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_8023FD88(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023FF58,0x8023FF58,unknown,unmapped:no accepted entry at retail call target,1,0x0028583C,$a0|$a1|$a2|$a3,3,7,unknown,"void func_8023FF58(s32, s32, s32, s32, s32, s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_8023FF58(s32, s32, s32, s32, s32, s32, s32)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_802401A0,0x802401A0,unknown,unmapped:no accepted entry at retail call target,1,0x0028584C,none isolated,0,0,unknown,s32 func_802401A0(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,s32 func_802401A0(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_802408A8,0x802408A8,unknown,unmapped:no accepted entry at retail call target,1,0x002853D8,$a0|$a1,0,2,unknown,"void func_802408A8(s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_802408A8(s32, s32)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8024098C,0x8024098C,unknown,unmapped:no accepted entry at retail call target,1,0x002853BC,$a0|$a1|$a2,0,3,unknown,"void func_8024098C(s32, s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_8024098C(s32, s32, s32)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_802409C4,0x802409C4,unknown,unmapped:no accepted entry at retail call target,1,0x002853EC,$a0,0,1,unknown,s32 func_802409C4(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,s32 func_802409C4(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_80240CA8,0x80240CA8,unknown,unmapped:no accepted entry at retail call target,1,0x00285398,$a0|$a1|$a2|$a3,5,9,unknown,"void func_80240CA8(s32, s32, s32, s32, s32, s32, s32, s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_80240CA8(s32, s32, s32, s32, s32, s32, s32, s32, s32)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_80240F58,0x80240F58,unknown,unmapped:no accepted entry at retail call target,1,0x00285448,none isolated,0,0,unknown,s32 func_80240F58(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,s32 func_80240F58(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_802416AC,0x802416AC,unknown,unmapped:no accepted entry at retail call target,1,0x00285438,$a0|$a1|$a2|$a3,5,9,unknown,"void func_802416AC(s32, s32, s32, s32, s32, s32, s32, s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_802416AC(s32, s32, s32, s32, s32, s32, s32, s32, s32)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_80241ED0,0x80241ED0,unknown,unmapped:no accepted entry at retail call target,1,0x00285670,$a0|$a1|$a2|$a3,6,10,unknown,"void func_80241ED0(u8, s32, s32, s32, s32, s32, s32, s32, s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_80241ED0(u8, s32, s32, s32, s32, s32, s32, s32, s32, s32)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_80242030,0x80242030,unknown,unmapped:no accepted entry at retail call target,1,0x00285698,$a0|$a1|$a2|$a3,0,4,unknown,"void func_80242030(u8, s32, s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_80242030(u8, s32, s32, s32)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_802420DC,0x802420DC,unknown,unmapped:no accepted entry at retail call target,1,0x002856B0,$a0,0,1,unknown,s32 func_802420DC(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,s32 func_802420DC(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_80243AC8,0x80243AC8,unknown,unmapped:no accepted entry at retail call target,1,0x00285EC4,$a0|$a1,0,2,unknown,"void func_80243AC8(s16, s16)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_80243AC8(s16, s16)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
resource_free,0x800712C4,resource_free,unique:resource_free,2,0x00285D9C|0x00285F68,$a0,0,0|1,not-observed-before-overwrite|unknown,void resource_free(void *),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void resource_free(void *),return/parameter types remain unconfirmed
